%													
#for correction of metFormula (and metCharges) to balance equation	"#Note: no changes are made to R groups in model.metFormulas, since R groups can represent any CnHn and modification may cause other reactions to have unbalanced R groups"												
#model.mets	model.metFormulas	new_metFormulas	model.metCharges	new_metCharges	refMNXMID	rxn/related rxn(s)	refMNXRID	elementdiff	Notes	MNXNotes	KEGGNotes	ChEBINotes	otherDatabaseNotes
s_0710[m]	C42H44FeN8O8S2R4	C42H45FeN8O8S2R4	0	[]	MNXM746	r_0001	MNXR138960	H2	s_0710[m]: changed metFormula C42H44FeN8O8S2R4 to C42H45FeN8O8S2R4 to balance equation	"| ferricytochrome c is reduced to form ferrocytochrome c, thus 2 H added to metFormula for ferrocytochrome"	[]	[]	[]
s_0794[c]	r_0045	0	1	H1	"for model.mets: s_0794[c], model.rxns: r_0045, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0794[c]	r_0058	1	0	H-1	"for model.mets: s_0794[c], model.rxns: r_0058, change model.S coefficient from 1 to 0 to balance equation"	[]							
s_0794[c]	r_0073	2	1	H-1	"for model.mets: s_0794[c], model.rxns: r_0073, change model.S coefficient from 2 to 1 to balance equation"	[]							
s_0794[c]	r_0074	-2	-1	O-1H-14	"for model.mets: s_0794[c], model.rxns: r_0074, change model.S coefficient from -2 to -1 to balance equation"	[]							
s_0803[c]	r_0074	1	0	O-1H-14	"for model.mets: s_0803[c], model.rxns: r_0074, change model.S coefficient from 1 to 0 to balance equation"	[]							
s_0794[c]	r_0080	-2	-1	H1	"for model.mets: s_0794[c], model.rxns: r_0080, change model.S coefficient from -2 to -1 to balance equation"	[]							
s_0794[c]	r_0082	2	1	H-1	"for model.mets: s_0794[c], model.rxns: r_0082, change model.S coefficient from 2 to 1 to balance equation"	[]							
s_0794[c]	r_0083	-1	0	H1	"for model.mets: s_0794[c], model.rxns: r_0083, change model.S coefficient from -1 to 0 to balance equation"	[]							
s_0794[c]	r_0092	2	1	H-1	"for model.mets: s_0794[c], model.rxns: r_0092, change model.S coefficient from 2 to 1 to balance equation"	[]							
s_0794[c]	r_0093	-2	-1	O-1H-14	"for model.mets: s_0794[c], model.rxns: r_0093, change model.S coefficient from -2 to -1 to balance equation"	[]							
s_0803[c]	r_0093	1	0	O-1H-14	"for model.mets: s_0803[c], model.rxns: r_0093, change model.S coefficient from 1 to 0 to balance equation"	[]							
s_0794[c]	r_0094	4	-1	H-5	"for model.mets: s_0794[c], model.rxns: r_0094, change model.S coefficient from 4 to -1 to balance equation"	[]							
s_0794[c]	r_0155	-1	1	H2	"for model.mets: s_0794[c], model.rxns: r_0155, change model.S coefficient from -1 to 1 to balance equation"	[]							
s_0797[g]	r_0192	1	-1	H-2	"for model.mets: s_0797[g], model.rxns: r_0192, change model.S coefficient from 1 to -1 to balance equation"	[]							
s_0794[c]	r_0228	0	1	H1	"for model.mets: s_0794[c], model.rxns: r_0228, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0794[c]	r_0234	1	0	C1O-1H2	"for model.mets: s_0794[c], model.rxns: r_0234, change model.S coefficient from 1 to 0 to balance equation"	| based on BioCyc ID: RXN66-318							
s_0794[c]	r_0235	1	0	H-1	"for model.mets: s_0794[c], model.rxns: r_0235, change model.S coefficient from 1 to 0 to balance equation"	[]							
s_0794[c]	r_0240	-1	0	C-1O1H-2	"for model.mets: s_0794[c], model.rxns: r_0240, change model.S coefficient from -1 to 0 to balance equation"	| based on BioCyc ID: RXN66-313							
s_0794[c]	r_0241	-3	-2	H1	"for model.mets: s_0794[c], model.rxns: r_0241, change model.S coefficient from -3 to -2 to balance equation"	| based on current model.rxnMetaNetX MNXR111130							
s_0794[c]	r_0249	2	0	H-2	"for model.mets: s_0794[c], model.rxns: r_0249, change model.S coefficient from 2 to 0 to balance equation"	[]							
s_0794[c]	r_0312	1	0	H-1	"for model.mets: s_0794[c], model.rxns: r_0312, change model.S coefficient from 1 to 0 to balance equation"	[]							
s_0794[c]	r_0319	0	1	H1	"for model.mets: s_0794[c], model.rxns: r_0319, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0804[er]	r_0340	0	1	O1H2	"for model.mets: s_0804[er], model.rxns: r_0340, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0804[er]	r_0341	0	1	O1H2	"for model.mets: s_0804[er], model.rxns: r_0341, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0804[er]	r_0342	0	-1	O-1H-2	"for model.mets: s_0804[er], model.rxns: r_0342, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0804[er]	r_0343	0	-1	O-1H-2	"for model.mets: s_0804[er], model.rxns: r_0343, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0794[c]	r_0357	6	3	H-3	"for model.mets: s_0794[c], model.rxns: r_0357, change model.S coefficient from 6 to 3 to balance equation"	[]							
s_0794[c]	r_0358	-5	-2	H3	"for model.mets: s_0794[c], model.rxns: r_0358, change model.S coefficient from -5 to -2 to balance equation"	[]							
s_0794[c]	r_0360	1	-1	H-1R1	"for model.mets: s_0794[c], model.rxns: r_0360, change model.S coefficient from 1 to -1 to balance equation"	[]							
s_0794[c]	r_0361	0	1	H-1	"for model.mets: s_0794[c], model.rxns: r_0361, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0795[er]	r_0362	1	0	O-1H-3	"for model.mets: s_0795[er], model.rxns: r_0362, change model.S coefficient from 1 to 0 to balance equation"	[]							
s_0794[c]	r_0441	-1	-2	H-1	"for model.mets: s_0794[c], model.rxns: r_0441, change model.S coefficient from -1 to -2 to balance equation"	[]							
s_0794[c]	r_0442	-1	-2	H-1	"for model.mets: s_0794[c], model.rxns: r_0442, change model.S coefficient from -1 to -2 to balance equation"	[]							
s_0799[m]	r_0454	0	1	H1	"for model.mets: s_0799[m], model.rxns: r_0454, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0794[c]	r_0455	0	1	H1	"for model.mets: s_0794[c], model.rxns: r_0455, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0799[m]	r_0490	0	-1	H-1	"for model.mets: s_0799[m], model.rxns: r_0490, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0799[m]	r_0506	-1	0	C4N2O3H6R1	"for model.mets: s_0799[m], model.rxns: r_0506, change model.S coefficient from -1 to 0 to balance equation"	[]							
s_0799[m]	r_0507	0	-1	H-1	"for model.mets: s_0799[m], model.rxns: r_0507, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0803[c]	r_0510	-1	0	O1H2	"for model.mets: s_0803[c], model.rxns: r_0510, change model.S coefficient from -1 to 0 to balance equation"	| based on current model.rxnMetaNetX MNXR143136							
s_0799[m]	r_0545	1	0	H-1	"for model.mets: s_0799[m], model.rxns: r_0545, change model.S coefficient from 1 to 0 to balance equation"	[]							
s_0794[c]	r_0550	0	-1	H-1R-2	"for model.mets: s_0794[c], model.rxns: r_0550, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0799[m]	r_0551	0	-1	H-1R-2	"for model.mets: s_0799[m], model.rxns: r_0551, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0801[p]	r_0552	0	-1	H-1R-2	"for model.mets: s_0801[p], model.rxns: r_0552, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0800[n]	r_0571	-1	1	H2	"for model.mets: s_0800[n], model.rxns: r_0571, change model.S coefficient from -1 to 1 to balance equation"	[]							
s_0800[n]	r_0572	-1	1	H2	"for model.mets: s_0800[n], model.rxns: r_0572, change model.S coefficient from -1 to 1 to balance equation"	[]							
s_0800[n]	r_0573	-1	1	H2	"for model.mets: s_0800[n], model.rxns: r_0573, change model.S coefficient from -1 to 1 to balance equation"	[]							
s_0800[n]	r_0574	-1	1	H2	"for model.mets: s_0800[n], model.rxns: r_0574, change model.S coefficient from -1 to 1 to balance equation"	[]							
s_0800[n]	r_0575	-1	1	H2	"for model.mets: s_0800[n], model.rxns: r_0575, change model.S coefficient from -1 to 1 to balance equation"	[]							
s_0799[m]	r_0616	0	2	H2	"for model.mets: s_0799[m], model.rxns: r_0616, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0799[m]	r_0617	0	2	H2	"for model.mets: s_0799[m], model.rxns: r_0617, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0799[m]	r_0618	0	2	H2	"for model.mets: s_0799[m], model.rxns: r_0618, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0799[m]	r_0619	0	2	H2	"for model.mets: s_0799[m], model.rxns: r_0619, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0799[m]	r_0620	0	2	H2	"for model.mets: s_0799[m], model.rxns: r_0620, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0799[m]	r_0621	0	2	H2	"for model.mets: s_0799[m], model.rxns: r_0621, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0799[m]	r_0622	0	2	H2	"for model.mets: s_0799[m], model.rxns: r_0622, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0799[m]	r_0623	0	2	H2	"for model.mets: s_0799[m], model.rxns: r_0623, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0799[m]	r_0624	0	2	H2	"for model.mets: s_0799[m], model.rxns: r_0624, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0799[m]	r_0625	0	2	H2	"for model.mets: s_0799[m], model.rxns: r_0625, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0795[er]	r_0646	0	2	H2	"for model.mets: s_0795[er], model.rxns: r_0646, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0795[er]	r_0647	0	2	H2	"for model.mets: s_0795[er], model.rxns: r_0647, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0795[er]	r_0648	0	2	H2	"for model.mets: s_0795[er], model.rxns: r_0648, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0795[er]	r_0649	0	2	H2	"for model.mets: s_0795[er], model.rxns: r_0649, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0795[er]	r_0650	0	2	H2	"for model.mets: s_0795[er], model.rxns: r_0650, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0795[er]	r_0651	0	2	H2	"for model.mets: s_0795[er], model.rxns: r_0651, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0795[er]	r_0652	0	2	H2	"for model.mets: s_0795[er], model.rxns: r_0652, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0795[er]	r_0653	0	2	H2	"for model.mets: s_0795[er], model.rxns: r_0653, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0795[er]	r_0654	0	2	H2	"for model.mets: s_0795[er], model.rxns: r_0654, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0795[er]	r_0655	0	2	H2	"for model.mets: s_0795[er], model.rxns: r_0655, change model.S coefficient from 0 to 2 to balance equation"	[]							
s_0794[c]	r_0727	1	0	H-1	"for model.mets: s_0794[c], model.rxns: r_0727, change model.S coefficient from 1 to 0 to balance equation"	[]							
s_0797[g]	r_0747	0	1	H1	"for model.mets: s_0797[g], model.rxns: r_0747, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0797[g]	r_0748	0	1	H2	"for model.mets: s_0797[g], model.rxns: r_0748, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0797[g]	r_0749	0	1	H1	"for model.mets: s_0797[g], model.rxns: r_0749, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0797[g]	r_0750	0	1	H1	"for model.mets: s_0797[g], model.rxns: r_0750, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0797[g]	r_0751	0	1	H1	"for model.mets: s_0797[g], model.rxns: r_0751, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0797[g]	r_0752	0	1	H1	"for model.mets: s_0797[g], model.rxns: r_0752, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0797[g]	r_0753	0	1	H1	"for model.mets: s_0797[g], model.rxns: r_0753, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0797[g]	r_0754	0	1	H1	"for model.mets: s_0797[g], model.rxns: r_0754, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0797[g]	r_0755	0	1	H1	"for model.mets: s_0797[g], model.rxns: r_0755, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0797[g]	r_0756	0	1	H1	"for model.mets: s_0797[g], model.rxns: r_0756, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0794[c]	r_0813	1	0	H-1	"for model.mets: s_0794[c], model.rxns: r_0813, change model.S coefficient from 1 to 0 to balance equation"	[]							
s_0794[c]	r_0855	2	1	H-1	"for model.mets: s_0794[c], model.rxns: r_0855, change model.S coefficient from 2 to 1 to balance equation"	[]							
s_0794[c]	r_0883	2	1	H-2R-2	"for model.mets: s_0794[c], model.rxns: r_0883, change model.S coefficient from 2 to 1 to balance equation"	[]							
s_0794[c]	r_0908	1	2	H1	"for model.mets: s_0794[c], model.rxns: r_0908, change model.S coefficient from 1 to 2 to balance equation"	[]							
s_0394[c]	r_0911	1	0	H2	"for model.mets: s_0394[c], model.rxns: r_0911, change model.S coefficient from 1 to 0 to balance equation"	[]							
s_0434[c]	r_0911	-1	0	H2	"for model.mets: s_0434[c], model.rxns: r_0911, change model.S coefficient from -1 to 0 to balance equation"	[]							
s_0803[c]	r_0911	-1	0	H2	"for model.mets: s_0803[c], model.rxns: r_0911, change model.S coefficient from -1 to 0 to balance equation"	[]							
s_1322[c]	r_0911	1	0	H2	"for model.mets: s_1322[c], model.rxns: r_0911, change model.S coefficient from 1 to 0 to balance equation"	[]							
s_0804[er]	r_0919	0	1	O1H2	"for model.mets: s_0804[er], model.rxns: r_0919, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0804[er]	r_0920	0	1	O1H1	"for model.mets: s_0804[er], model.rxns: r_0920, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0794[c]	r_0941	1	0	O1H-1	"for model.mets: s_0794[c], model.rxns: r_0941, change model.S coefficient from 1 to 0 to balance equation"	[]							
s_0794[c]	r_0967	0	1	H1	"for model.mets: s_0794[c], model.rxns: r_0967, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0794[c]	r_0968	0	-1	H-1	"for model.mets: s_0794[c], model.rxns: r_0968, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0794[c]	r_0970	0	-1	N-1H-1R-2	"for model.mets: s_0794[c], model.rxns: r_0970, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0794[c]	r_0971	0	-1	N-1H-1R-2	"for model.mets: s_0794[c], model.rxns: r_0971, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0794[c]	r_0972	0	-1	N-1H-1R-2	"for model.mets: s_0794[c], model.rxns: r_0972, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0794[c]	r_0973	0	-1	N-1H-1R-2	"for model.mets: s_0794[c], model.rxns: r_0973, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0794[c]	r_0974	0	-1	N-1H-1R-2	"for model.mets: s_0794[c], model.rxns: r_0974, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0800[n]	r_0975	0	-1	N-1H-1R-2	"for model.mets: s_0800[n], model.rxns: r_0975, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0794[c]	r_0976	0	-1	N-1H-1R-2	"for model.mets: s_0794[c], model.rxns: r_0976, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0800[n]	r_0977	0	-1	N-1H-1R-2	"for model.mets: s_0800[n], model.rxns: r_0977, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0794[c]	r_0978	0	-1	N-1H-1R-2	"for model.mets: s_0794[c], model.rxns: r_0978, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0800[n]	r_0979	0	-1	N-1H-1R-2	"for model.mets: s_0800[n], model.rxns: r_0979, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0795[er]	r_0993	0	-1	H-1	"for model.mets: s_0795[er], model.rxns: r_0993, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0794[c]	r_0998	1	2	H1	"for model.mets: s_0794[c], model.rxns: r_0998, change model.S coefficient from 1 to 2 to balance equation"	[]							
s_0794[c]	r_0999	3	2	H-1	"for model.mets: s_0794[c], model.rxns: r_0999, change model.S coefficient from 3 to 2 to balance equation"	[]							
s_0794[c]	r_1000	0	1	H1	"for model.mets: s_0794[c], model.rxns: r_1000, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0794[c]	r_1027	-5	-4	H1	"for model.mets: s_0794[c], model.rxns: r_1027, change model.S coefficient from -5 to -4 to balance equation"	[]							
s_0800[n]	r_1037	0	-1	H-1R-2	"for model.mets: s_0800[n], model.rxns: r_1037, change model.S coefficient from 0 to -1 to balance equation"	[]							
s_0794[c]	r_1038	-1	0	N1H1R2	"for model.mets: s_0794[c], model.rxns: r_1038, change model.S coefficient from -1 to 0 to balance equation"	[]							
s_0799[m]	r_1039	-1	0	N1H1R2	"for model.mets: s_0799[m], model.rxns: r_1039, change model.S coefficient from -1 to 0 to balance equation"	[]							
s_0794[c]	r_1603	-2	1	H1	"for model.mets: s_0794[c], model.rxns: r_1603, change model.S coefficient from -2 to 1 to balance equation"	[]							
s_0803[c]	r_2112	0	1	O1H1	"for model.mets: s_0803[c], model.rxns: r_2112, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_1207[c]	r_2113	0	1	O1H-1	"for model.mets: s_1207[c], model.rxns: r_2113, change model.S coefficient from 0 to 1 to balance equation"	"| General reduced acceptor listed in MNXR108341 and R03687, most common reduced acceptor NADPH to be used until further information is available"							
s_1212[c]	r_2113	0	-1	O1H-1	"for model.mets: s_1212[c], model.rxns: r_2113, change model.S coefficient from 0 to -1 to balance equation"	"| General acceptor listed in MNXR108341 and R03687, most common acceptor NADP(+) to be used until further information is available"							
s_0803[c]	r_2113	0	1	O1H-1	"for model.mets: s_0803[c], model.rxns: r_2113, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0794[c]	r_2113	0	-2	O1H-1	"for model.mets: s_0794[c], model.rxns: r_2113, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_0794[c]	r_2114	0	1	H-1	"for model.mets: s_0794[c], model.rxns: r_2114, change model.S coefficient from 0 to 1 to balance equation"	[]							
s_0794[c]	r_2116	1	2	H1	"for model.mets: s_0794[c], model.rxns: r_2116, change model.S coefficient from 1 to 2 to balance equation"	[]							
s_0803[c]	r_2126	0	-1	O-1H-2	"for model.mets: s_0803[c], model.rxns: r_2126, change model.S coefficient from 0 to -1 to balance equation"	| Hydrolase reaction							
s_0801[p]	r_2232	1	5	H4	"for model.mets: s_0801[p], model.rxns: r_2232, change model.S coefficient from 1 to 5 to balance equation"	[]							
s_0801[p]	r_2233	1	5	H4	"for model.mets: s_0801[p], model.rxns: r_2233, change model.S coefficient from 1 to 5 to balance equation"	[]							
s_0801[p]	r_2242	0	-4	H4	"for model.mets: s_0801[p], model.rxns: r_2242, change model.S coefficient from 0 to -4 to balance equation"	[]							
s_0801[p]	r_2254	0	4	H4	"for model.mets: s_0801[p], model.rxns: r_2254, change model.S coefficient from 0 to 4 to balance equation"	[]							
s_0801[p]	r_2256	0	-4	H-4	"for model.mets: s_0801[p], model.rxns: r_2256, change model.S coefficient from 0 to -4 to balance equation"	[]							
s_0801[p]	r_2263	0	-4	H-4	"for model.mets: s_0801[p], model.rxns: r_2263, change model.S coefficient from 0 to -4 to balance equation"	[]							
s_0801[p]	r_2295	0	4	H4	"for model.mets: s_0801[p], model.rxns: r_2295, change model.S coefficient from 0 to 4 to balance equation"	[]							
s_0801[p]	r_2297	0	4	H4	"for model.mets: s_0801[p], model.rxns: r_2297, change model.S coefficient from 0 to 4 to balance equation"	[]							
s_0801[p]	r_2298	0	4	H4	"for model.mets: s_0801[p], model.rxns: r_2298, change model.S coefficient from 0 to 4 to balance equation"	[]							
s_0801[p]	r_2300	0	4	H4	"for model.mets: s_0801[p], model.rxns: r_2300, change model.S coefficient from 0 to 4 to balance equation"	[]							
s_2783[erm]	r_2308	0	-2	H-2	"for model.mets: s_2783[erm], model.rxns: r_2308, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_2783[erm]	r_2309	0	-2	H-2	"for model.mets: s_2783[erm], model.rxns: r_2309, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_2783[erm]	r_2310	0	-2	H-2	"for model.mets: s_2783[erm], model.rxns: r_2310, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_2783[erm]	r_2311	0	-2	H-2	"for model.mets: s_2783[erm], model.rxns: r_2311, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_2783[erm]	r_2312	0	-2	H-2	"for model.mets: s_2783[erm], model.rxns: r_2312, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_2783[erm]	r_2313	0	-2	H-2	"for model.mets: s_2783[erm], model.rxns: r_2313, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_2783[erm]	r_2314	0	-2	H-2	"for model.mets: s_2783[erm], model.rxns: r_2314, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_2783[erm]	r_2315	0	-2	H-2	"for model.mets: s_2783[erm], model.rxns: r_2315, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_2783[erm]	r_2316	0	-2	H-2	"for model.mets: s_2783[erm], model.rxns: r_2316, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_2783[erm]	r_2317	0	-2	H-2	"for model.mets: s_2783[erm], model.rxns: r_2317, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_2783[erm]	r_2318	0	-2	H-2	"for model.mets: s_2783[erm], model.rxns: r_2318, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_2783[erm]	r_2319	0	-2	H-2	"for model.mets: s_2783[erm], model.rxns: r_2319, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_0798[lp]	r_2320	0	-2	H-2	"for model.mets: s_0798[lp], model.rxns: r_2320, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_0798[lp]	r_2321	0	-2	H-2	"for model.mets: s_0798[lp], model.rxns: r_2321, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_0798[lp]	r_2322	0	-2	H-2	"for model.mets: s_0798[lp], model.rxns: r_2322, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_0798[lp]	r_2323	0	-2	H-2	"for model.mets: s_0798[lp], model.rxns: r_2323, change model.S coefficient from 0 to -2 to balance equation"	[]							
s_2783[erm]	r_2344	0	2	H-2	"for model.mets: s_2783[erm], model.rxns: r_2344, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_2783[erm]	r_2345	0	2	H2	"for model.mets: s_2783[erm], model.rxns: r_2345, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_2783[erm]	r_2346	0	2	H2	"for model.mets: s_2783[erm], model.rxns: r_2346, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_2783[erm]	r_2347	0	2	H2	"for model.mets: s_2783[erm], model.rxns: r_2347, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_2783[erm]	r_2348	0	2	H2	"for model.mets: s_2783[erm], model.rxns: r_2348, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_2783[erm]	r_2349	0	2	H2	"for model.mets: s_2783[erm], model.rxns: r_2349, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_2783[erm]	r_2350	0	2	H2	"for model.mets: s_2783[erm], model.rxns: r_2350, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_2783[erm]	r_2351	0	2	H2	"for model.mets: s_2783[erm], model.rxns: r_2351, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3164[vm]	r_2352	0	2	H-2	"for model.mets: s_3164[vm], model.rxns: r_2352, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3164[vm]	r_2353	0	2	H2	"for model.mets: s_3164[vm], model.rxns: r_2353, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3164[vm]	r_2354	0	2	H2	"for model.mets: s_3164[vm], model.rxns: r_2354, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3164[vm]	r_2355	0	2	H2	"for model.mets: s_3164[vm], model.rxns: r_2355, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3164[vm]	r_2356	0	2	H2	"for model.mets: s_3164[vm], model.rxns: r_2356, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3164[vm]	r_2357	0	2	H2	"for model.mets: s_3164[vm], model.rxns: r_2357, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3164[vm]	r_2358	0	2	H2	"for model.mets: s_3164[vm], model.rxns: r_2358, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3164[vm]	r_2359	0	2	H2	"for model.mets: s_3164[vm], model.rxns: r_2359, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3146[gm]	r_2360	0	2	H-2	"for model.mets: s_3146[gm], model.rxns: r_2360, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3146[gm]	r_2361	0	2	H-2	"for model.mets: s_3146[gm], model.rxns: r_2361, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3146[gm]	r_2362	0	2	H2	"for model.mets: s_3146[gm], model.rxns: r_2362, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3146[gm]	r_2363	0	2	H2	"for model.mets: s_3146[gm], model.rxns: r_2363, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3146[gm]	r_2364	0	2	H2	"for model.mets: s_3146[gm], model.rxns: r_2364, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3146[gm]	r_2365	0	2	H2	"for model.mets: s_3146[gm], model.rxns: r_2365, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3146[gm]	r_2366	0	2	H2	"for model.mets: s_3146[gm], model.rxns: r_2366, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_3146[gm]	r_2367	0	2	H2	"for model.mets: s_3146[gm], model.rxns: r_2367, change model.S coefficient from 0 to 2 to balance equation"	https://doi.org/10.1038/s41598-018-30367-z							
s_2783[erm]	r_2446	1	2	H1	"for model.mets: s_2783[erm], model.rxns: r_2446, change model.S coefficient from 1 to 2 to balance equation"	[]							
s_2783[erm]	r_2447	1	2	H1	"for model.mets: s_2783[erm], model.rxns: r_2447, change model.S coefficient from 1 to 2 to balance equation"	[]							
s_2783[erm]	r_2448	1	2	H1	"for model.mets: s_2783[erm], model.rxns: r_2448, change model.S coefficient from 1 to 2 to balance equation"	[]							
s_2783[erm]	r_2449	1	2	H1	"for model.mets: s_2783[erm], model.rxns: r_2449, change model.S coefficient from 1 to 2 to balance equation"	[]							
s_2783[erm]	r_2450	1	2	H-1	"for model.mets: s_2783[erm], model.rxns: r_2450, change model.S coefficient from 1 to 2 to balance equation"	[]							
s_2783[erm]	r_2451	1	2	H1	"for model.mets: s_2783[erm], model.rxns: r_2451, change model.S coefficient from 1 to 2 to balance equation"	[]							
